--dataset cifar --device cuda:0 --load /gscratch/aims/diffusion-attr/results_ming/cifar/retrain/models/2 --method retrain --excluded_class 2
[rank: 0] Seed set to 42
wandb: Currently logged in as: mingyulu (data_att). Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.16.1
wandb: Run data is saved locally in /mmfs1/home/mingyulu/data_attribution/wandb/run-20231209_164744-hqgc053i
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run mild-bee-122
wandb: ⭐️ View project at https://wandb.ai/data_att/Data%20Shapley%20for%20Diffusion
wandb: 🚀 View run at https://wandb.ai/data_att/Data%20Shapley%20for%20Diffusion/runs/hqgc053i
Running main_new.py with arguments
	load=/gscratch/aims/diffusion-attr/results_ming/cifar/retrain/models/2
	init=False
	dataset=cifar
	log_freq=20
	excluded_class=2
	method=retrain
	opt_seed=42
	device=cuda:0
	outdir=/gscratch/aims/diffusion-attr/results_ming
	db=None
	exp_name=None
	resume=False
	lr_scheduler=constant
	lr_warmup_steps=0
	adam_beta1=0.9
	adam_beta2=0.999
	adam_weight_decay=0.0
	adam_epsilon=1e-08
	ema_inv_gamma=1.0
	ema_power=0.75
	ema_max_decay=0.9999
	num_inference_steps=100
	num_train_steps=1000
Files already downloaded and verified
Files already downloaded and verified
Loading pruned/pretrained model from /gscratch/aims/diffusion-attr/results_ming/cifar/retrain/models/2
Epoch[1/800], Step[20/352], steps_time: 8.583, loss: 0.03063, gradient norms: 0.04045, parameters norms: 256.29440, lr: 0.000100
Epoch[1/800], Step[40/352], steps_time: 5.248, loss: 0.02811, gradient norms: 0.04998, parameters norms: 256.30695, lr: 0.000100
Epoch[1/800], Step[60/352], steps_time: 5.288, loss: 0.02410, gradient norms: 0.03260, parameters norms: 256.31821, lr: 0.000100
Epoch[1/800], Step[80/352], steps_time: 5.339, loss: 0.03031, gradient norms: 0.04920, parameters norms: 256.32803, lr: 0.000100
Epoch[1/800], Step[100/352], steps_time: 5.412, loss: 0.02370, gradient norms: 0.03515, parameters norms: 256.33777, lr: 0.000100
Epoch[1/800], Step[120/352], steps_time: 5.457, loss: 0.04198, gradient norms: 0.03665, parameters norms: 256.34811, lr: 0.000100
Epoch[1/800], Step[140/352], steps_time: 5.661, loss: 0.03521, gradient norms: 0.05404, parameters norms: 256.35760, lr: 0.000100
Epoch[1/800], Step[160/352], steps_time: 5.496, loss: 0.03517, gradient norms: 0.04998, parameters norms: 256.36783, lr: 0.000100
Epoch[1/800], Step[180/352], steps_time: 5.523, loss: 0.03383, gradient norms: 0.08487, parameters norms: 256.37741, lr: 0.000100
Epoch[1/800], Step[200/352], steps_time: 5.536, loss: 0.03320, gradient norms: 0.07851, parameters norms: 256.38773, lr: 0.000100
Epoch[1/800], Step[220/352], steps_time: 5.551, loss: 0.02551, gradient norms: 0.06018, parameters norms: 256.39865, lr: 0.000100
Epoch[1/800], Step[240/352], steps_time: 5.557, loss: 0.03763, gradient norms: 0.02097, parameters norms: 256.40704, lr: 0.000100
